vignette_id,run_id,model,d_i,n_voices_in_run
BANCO-001,1,openai/gpt-4o,0.1156616004,16
BANCO-001,1,anthropic/claude-sonnet-4.5,0.0972748408,16
BANCO-001,1,google/gemini-2.5-flash,0.0983886719,16
BANCO-001,1,mistralai/ministral-14b-2512,0.1263321259,16
BANCO-001,1,mistralai/mistral-large-2512,0.1282701926,16
BANCO-001,1,meta-llama/llama-3.3-70b-instruct,0.1198919564,16
BANCO-001,1,qwen/qwen3.7-plus,0.0920986785,16
BANCO-001,1,x-ai/grok-4.3,0.1128901223,16
BANCO-001,1,google/gemini-3-flash-preview,0.0905805361,16
BANCO-001,1,anthropic/claude-haiku-4.5,0.1032153893,16
BANCO-001,1,google/gemma-4-26b-a4b-it,0.0875724379,16
BANCO-001,1,deepseek/deepseek-v4-flash,0.0901867081,16
BANCO-001,1,minimax/minimax-m3,0.1030605262,16
BANCO-001,1,z-ai/glm-5.2,0.0889189654,16
BANCO-001,1,deepseek/deepseek-v4-pro,0.0984634785,16
BANCO-001,1,google/gemma-4-31b-it,0.0968280454,16
BANCO-001,2,openai/gpt-4o,0.1234104802,15
BANCO-001,2,anthropic/claude-sonnet-4.5,0.1071691950,15
BANCO-001,2,mistralai/ministral-14b-2512,0.1179463493,15
BANCO-001,2,mistralai/mistral-large-2512,0.1291178972,15
BANCO-001,2,meta-llama/llama-3.3-70b-instruct,0.1233899163,15
BANCO-001,2,qwen/qwen3.7-plus,0.0838060296,15
BANCO-001,2,x-ai/grok-4.3,0.1175707154,15
BANCO-001,2,google/gemini-3-flash-preview,0.0867581691,15
BANCO-001,2,anthropic/claude-haiku-4.5,0.1143766813,15
BANCO-001,2,google/gemma-4-26b-a4b-it,0.0814266828,15
BANCO-001,2,deepseek/deepseek-v4-flash,0.0798146934,15
BANCO-001,2,minimax/minimax-m3,0.1071796209,15
BANCO-001,2,z-ai/glm-5.2,0.0936828551,15
BANCO-001,2,deepseek/deepseek-v4-pro,0.0930873460,15
BANCO-001,2,google/gemma-4-31b-it,0.0883639866,15
BANCO-001,3,openai/gpt-4o,0.1189640493,16
BANCO-001,3,anthropic/claude-sonnet-4.5,0.1035334577,16
BANCO-001,3,google/gemini-2.5-flash,0.1084011958,16
BANCO-001,3,mistralai/ministral-14b-2512,0.1490213550,16
BANCO-001,3,mistralai/mistral-large-2512,0.1157145396,16
BANCO-001,3,meta-llama/llama-3.3-70b-instruct,0.1114192534,16
BANCO-001,3,qwen/qwen3.7-plus,0.0931635331,16
BANCO-001,3,x-ai/grok-4.3,0.1111079116,16
BANCO-001,3,google/gemini-3-flash-preview,0.0911138122,16
BANCO-001,3,anthropic/claude-haiku-4.5,0.1191050111,16
BANCO-001,3,google/gemma-4-26b-a4b-it,0.0817351879,16
BANCO-001,3,deepseek/deepseek-v4-flash,0.1403769570,16
BANCO-001,3,minimax/minimax-m3,0.0979546063,16
BANCO-001,3,z-ai/glm-5.2,0.1071578505,16
BANCO-001,3,deepseek/deepseek-v4-pro,0.1010202354,16
BANCO-001,3,google/gemma-4-31b-it,0.0920776134,16
BANCO-001,4,openai/gpt-4o,0.1068605427,15
BANCO-001,4,anthropic/claude-sonnet-4.5,0.1011635408,15
BANCO-001,4,google/gemini-2.5-flash,0.0922983331,15
BANCO-001,4,mistralai/ministral-14b-2512,0.1259125078,15
BANCO-001,4,mistralai/mistral-large-2512,0.1034397379,15
BANCO-001,4,meta-llama/llama-3.3-70b-instruct,0.1123467728,15
BANCO-001,4,qwen/qwen3.7-plus,0.0967631722,15
BANCO-001,4,x-ai/grok-4.3,0.1218910413,15
BANCO-001,4,google/gemini-3-flash-preview,0.0860760924,15
BANCO-001,4,anthropic/claude-haiku-4.5,0.1050908602,15
BANCO-001,4,google/gemma-4-26b-a4b-it,0.0779983133,15
BANCO-001,4,minimax/minimax-m3,0.1176106164,15
BANCO-001,4,z-ai/glm-5.2,0.0955422808,15
BANCO-001,4,deepseek/deepseek-v4-pro,0.1108446278,15
BANCO-001,4,google/gemma-4-31b-it,0.0923734836,15
BANCO-001,5,openai/gpt-4o,0.1281165104,16
BANCO-001,5,anthropic/claude-sonnet-4.5,0.1172998261,16
BANCO-001,5,google/gemini-2.5-flash,0.0921010555,16
BANCO-001,5,mistralai/ministral-14b-2512,0.1315741442,16
BANCO-001,5,mistralai/mistral-large-2512,0.1247620992,16
BANCO-001,5,meta-llama/llama-3.3-70b-instruct,0.1194742359,16
BANCO-001,5,qwen/qwen3.7-plus,0.0942287902,16
BANCO-001,5,x-ai/grok-4.3,0.1209688886,16
BANCO-001,5,google/gemini-3-flash-preview,0.1025855473,16
BANCO-001,5,anthropic/claude-haiku-4.5,0.1045604957,16
BANCO-001,5,google/gemma-4-26b-a4b-it,0.0921899375,16
BANCO-001,5,deepseek/deepseek-v4-flash,0.0929706601,16
BANCO-001,5,minimax/minimax-m3,0.1166654698,16
BANCO-001,5,z-ai/glm-5.2,0.1048906226,16
BANCO-001,5,deepseek/deepseek-v4-pro,0.1014953813,16
BANCO-001,5,google/gemma-4-31b-it,0.0886690555,16
BANCO-001,6,openai/gpt-4o,0.1442217559,15
BANCO-001,6,anthropic/claude-sonnet-4.5,0.0985874477,15
BANCO-001,6,mistralai/ministral-14b-2512,0.1473894108,15
BANCO-001,6,mistralai/mistral-large-2512,0.1177753555,15
BANCO-001,6,meta-llama/llama-3.3-70b-instruct,0.1280652372,15
BANCO-001,6,qwen/qwen3.7-plus,0.0895353707,15
BANCO-001,6,x-ai/grok-4.3,0.1178997357,15
BANCO-001,6,google/gemini-3-flash-preview,0.1036576073,15
BANCO-001,6,anthropic/claude-haiku-4.5,0.1056843283,15
BANCO-001,6,google/gemma-4-26b-a4b-it,0.0880384681,15
BANCO-001,6,deepseek/deepseek-v4-flash,0.0896846856,15
BANCO-001,6,minimax/minimax-m3,0.0962739525,15
BANCO-001,6,z-ai/glm-5.2,0.0855273153,15
BANCO-001,6,deepseek/deepseek-v4-pro,0.0980610764,15
BANCO-001,6,google/gemma-4-31b-it,0.0930136610,15
BANCO-001,7,openai/gpt-4o,0.1118933682,16
BANCO-001,7,anthropic/claude-sonnet-4.5,0.1105561147,16
BANCO-001,7,google/gemini-2.5-flash,0.0934662048,16
BANCO-001,7,mistralai/ministral-14b-2512,0.1208979394,16
BANCO-001,7,mistralai/mistral-large-2512,0.0990157307,16
